№ кв.;№ лицевого счета;ФИО квартиросъемщика;Входящее сальдо;;Начисления постоянные;Начисленные субсидии;Начисления разовые;Оплачено;Оплачено страховки;Оплачено субсидий;Исходящее сальдо;;Просроченная задолженность;Месяц последней оплаты
;;;Дебет;Кредит;;;;;;;Дебет;Кредит;;
Ленина ул. д.2;;;;;;;;;;;;;;
24;;;1511,33;0;3317,28;0;0;3402,02;58,39;0;1426,59;0;1511,33;авг.17
25;;;1605,05;0;3288,77;0;0;0;0;0;4893,82;0;1605,05;
26;;;3620,99;0;4657,71;0;34,78;4134,18;51,87;0;4179,3;0;3620,99;авг.17
26;;;0;621,53;0;0;0;0;0;0;0;621,53;0;
27;;;5283,46;0;1517,54;0;0;0;0;0;6801;0;5283,46;
27;;;0;288,12;4199,39;0;0;4199,39;0;0;0;288,12;0;июл.17
28;;;0;209,39;1882,06;0;0;1882,06;0;0;0;209,39;0;авг.17
29;;;10027,73;0;3120;0;17,41;0;0;0;13165,14;0;10027,73;
30;;;1688,34;0;1231,12;0;0;1255,4;0;0;1664,06;0;1688,34;авг.17
31;;;2036,25;0;3364,08;0;0;2934,39;0;0;2465,94;0;2036,25;авг.17
32;;;224,81;0;3034,54;0;0;3034,54;57,99;0;224,81;0;224,81;авг.17
33;;;0;571,77;3270,78;0;0;0;0;0;2699,01;0;0;
34;;;17704,71;0;4759,31;0;17,45;4776,76;0;0;17704,71;0;17704,71;июл.17
35;;;8275,52;0;2483,93;0;79,47;0;0;0;10838,92;0;8275,52;
36;;;273,13;0;2302,43;0;0;2302,43;0;0;273,13;0;273,13;авг.17
37;;;0;2944,04;2051,92;0;0;2089,55;0;0;0;2981,67;0;авг.17
38;;;0;83,78;1972,08;0;0;1972,08;0;0;0;83,78;0;авг.17
39;;;2970,15;0;2922,17;0;0;3165,11;60,12;0;2727,21;0;2970,15;авг.17
40;;;9280,62;0;1459,44;0;0;1353,87;0;0;9386,19;0;9280,62;авг.17
Ленина ул. д.4;;;;;;;;;;;;;;
